# V2 structural parameter provenance and uncertainty envelope.
# PARAM,name,baseline,unit,kind,source_id,vintage,lower_bound,upper_bound,distribution,relative_sigma,sampled,notes
META,registry_id,v2-structural-quarterly-2026-08-12
META,as_of,2026-08-12
PARAM,tariff_revenue_elasticity_scale,1.0,multiplier,assumed,internal_model_design_v2,2026-08-11,0.80,1.20,normal,0.08,true,"Sensitivity of tariff-ledger trade response relative to the macro trade elasticity."
PARAM,output_shock_sd,0.16,percentage_points,calibrated,internal_model_design_v2,2026-08-11,0.08,0.32,lognormal,0.15,true,"Quarterly output-gap innovation scale; provisional until historical residual calibration."
PARAM,inflation_shock_sd,0.11,percentage_points,calibrated,internal_model_design_v2,2026-08-11,0.055,0.22,lognormal,0.15,true,"Quarterly inflation innovation scale; provisional until historical residual calibration."
PARAM,output_inflation_shock_correlation,-0.006249264169,correlation,calibrated,boc_sep_quarterly_residual_covariance,2001Q1-2019Q4,-0.006249264169,-0.006249264169,fixed,0,false,"Contemporaneous correlation of the frozen 75-quarter production-form output-gap and inflation residuals. Used as a dependence-shape anchor only: the underlying shock variances remain provisional, so this is not claimed as an identified structural shock covariance matrix."
PARAM,growth_shock_sd,0.25,percentage_points,calibrated,internal_model_design_v2,2026-08-11,0.125,0.50,lognormal,0.15,true,"Canadian growth innovation scale; provisional."
PARAM,us_growth_shock_sd,0.18,percentage_points,calibrated,internal_model_design_v2,2026-08-11,0.09,0.36,lognormal,0.15,true,"U.S. growth innovation scale; provisional."
PARAM,export_shock_sd,0.35,percentage_points,calibrated,internal_model_design_v2,2026-08-11,0.175,0.70,lognormal,0.15,true,"Canadian export innovation scale; provisional."
PARAM,us_export_shock_sd,0.30,percentage_points,calibrated,internal_model_design_v2,2026-08-11,0.15,0.60,lognormal,0.15,true,"U.S. export innovation scale; provisional."
PARAM,shock_tail_threshold,2.0,standard_deviations,assumed,internal_model_design_v2,2026-08-12,1.50,2.75,normal,0.10,true,"Absolute standardized-innovation threshold above which the model applies the explicit heavy-tail scale. Sensitivity assumption, not an estimated tail quantile."
PARAM,shock_tail_scale,1.75,multiplier,assumed,internal_model_design_v2,2026-08-12,1.25,2.50,lognormal,0.15,true,"Multiplier applied to innovations beyond the tail threshold. Explicit model-risk sensitivity parameter, not an empirical tail estimate."
PARAM,stress_regime_shock_scale,1.35,multiplier,assumed,internal_model_design_v2,2026-08-12,1.00,2.00,lognormal,0.15,true,"Innovation multiplier when the submitted state is in financial/recession/trade stress. Explicit sensitivity envelope rather than an estimated regime-switching process."
